Commodity,IMF Grain Index (Avg),IMF Meat (Avg)
Data Type,USD,USD
Frequency,Monthly,Monthly
1993M7,154.46,109.59
1993M8,151.29,111.83
1993M9,147.76,111.94
1993M10,157.15,110.27
1993M11,178.64,106.76
1993M12,183.14,107.96
1994M1,192.83,108.8
1994M2,191.13,110.51
1994M3,170.8,110.84
1994M4,166.51,107.92
1994M5,160.91,108.07
1994M6,156.96,108.32
1994M7,149.98,108.29
1994M8,154.49,108.12
1994M9,159.26,108.13
1994M10,160.78,109
1994M11,162.29,105.55
1994M12,164.11,106.14
1995M1,165.16,111.55
1995M2,167.41,114.7
1995M3,168.64,115.68
1995M4,168.96,114.52
1995M5,174.15,112.03
1995M6,187.68,113.43
1995M7,200.58,122.7
1995M8,195.03,123.82
1995M9,204.27,125.37
1995M10,216.18,128.39
1995M11,212.66,136.67
1995M12,217.47,141.13
1996M1,222.51,148.48
1996M2,225.89,149.95
1996M3,225.79,145.37
1996M4,235.49,145.84
1996M5,243.63,144.92
1996M6,235.22,143.65
1996M7,234.77,144.02
1996M8,223.02,142.64
1996M9,209.1,141.74
1996M10,194.63,145.76
1996M11,191.34,149.82
1996M12,191.25,148.47
1997M1,201.91,144.9
1997M2,202.24,141.91
1997M3,204.92,140.33
1997M4,202.17,139.39
1997M5,206.28,139.9
1997M6,195.34,142.45
1997M7,185.93,145.28
1997M8,179.04,147.92
1997M9,173.68,149.33
1997M10,175.13,150.95
1997M11,174.45,157.98
1997M12,171.7,158.3
1998M1,175.4,155.18
1998M2,175.57,154.39
1998M3,174.05,152.2
1998M4,172.57,152.42
1998M5,174.39,151.49
1998M6,173.56,149.44
1998M7,169.63,145.37
1998M8,156.76,145.67
1998M9,154.35,148.78
1998M10,156.28,145.89
1998M11,154.5,135.05
1998M12,154.59,118.72
1999M1,156.75,117.75
1999M2,146.76,115.5
1999M3,141.49,104.1
1999M4,137.83,99.69
1999M5,137.91,99.56
1999M6,139.64,98.61
1999M7,133.51,100.87
1999M8,136.51,106.43
1999M9,133.4,108.08
1999M10,128.34,108.27
1999M11,129.78,109.43
1999M12,130.19,112.56
2000M1,137.52,112.81
2000M2,139.07,111.98
2000M3,137.15,110.71
2000M4,136.21,108.56
2000M5,134.51,107.47
2000M6,130.14,112.18
2000M7,122.27,114.04
2000M8,120.4,111.91
2000M9,123.08,111.96
2000M10,125.79,111.42
2000M11,127.7,110.44
2000M12,133.22,117.99
2001M1,129.88,119.18
2001M2,126.11,121.55
2001M3,124.22,123.21
2001M4,119.82,120.12
2001M5,122.74,120.8
2001M6,125.13,125.06
2001M7,131.49,127.21
2001M8,129.6,132.07
2001M9,127.57,133.55
2001M10,124.88,132.36
2001M11,126.04,135.1
2001M12,127.81,139.23
2002M1,129.72,140.93
2002M2,129.62,142.89
2002M3,129.87,143.22
2002M4,129.72,143.44
2002M5,133.38,145.56
2002M6,140.01,143.6
2002M7,151.05,146.91
2002M8,156.01,144.88
2002M9,160.75,145.1
2002M10,159.17,144.58
2002M11,158.09,142.73
2002M12,153.38,141.79
2003M1,153.69,144.12
2003M2,154.06,143.25
2003M3,151.04,141.69
2003M4,152.57,139.54
2003M5,156.92,144.35
2003M6,154.02,151.08
2003M7,144.72,148.56
2003M8,145.31,148.59
2003M9,151.82,149.34
2003M10,160.59,148.45
2003M11,166.53,152.77
2003M12,167.6,152.88
2004M1,174.09,159.47
2004M2,178.01,162.74
2004M3,195.01,162.17
2004M4,201.79,160.59
2004M5,196.69,163.28
2004M6,187.73,161.21
2004M7,174.19,160.63
2004M8,158.45,160.19
2004M9,153.67,159.65
2004M10,150.26,159.15
2004M11,154.91,163.24
2004M12,157.65,163.68
2005M1,158.72,164.63
2005M2,158.96,164.73
2005M3,170.46,165.75
2005M4,167.55,164.27
2005M5,166.43,163.15
2005M6,171.06,159.25
2005M7,172.94,155.22
2005M8,168.55,173.48
2005M9,166.35,173.16
2005M10,169.01,176.21
2005M11,164.19,175.96
2005M12,167.9,180.25
2006M1,169.88,187.03
2006M2,175.54,186.86
2006M3,174.31,185.27
2006M4,175.73,186.81
2006M5,182.66,197
2006M6,183.1,196.79
2006M7,187.49,197.64
2006M8,182.43,242.04
2006M9,182.57,247.04
2006M10,197.76,240.25
2006M11,207.83,240.64
2006M12,208.76,244.36
2007M1,211.84,239.83
2007M2,219.55,239.54
2007M3,220.62,241.47
2007M4,216.2,245.53
2007M5,220.73,243.54
2007M6,236.92,242.59
2007M7,238.63,237.07
2007M8,238.22,227.7
2007M9,264.06,221.09
2007M10,271.71,212.21
2007M11,278.15,208.33
2007M12,303.9,215.24
2008M1,320.7,219.37
2008M2,363.96,227.17
2008M3,406.95,228.79
2008M4,461.75,232.42
2008M5,453.73,239.51
2008M6,445.87,242.22
2008M7,433.61,251.36
2008M8,391.94,248.5
2008M9,368.36,242.12
2008M10,298.52,220.27
2008M11,276.19,208.6
2008M12,266.3,205.13
2009M1,297.23,206.06
2009M2,289.29,206.02
2009M3,287.5,207.47
2009M4,286.48,209.29
2009M5,299.95,219.64
2009M6,309.82,228.1
2009M7,301.63,237.03
2009M8,287.82,246.13
2009M9,270.75,255.53
2009M10,276.53,268.8
2009M11,288.3,283.74
2009M12,294.37,303.83
2010M1,287.74,313.79
2010M2,277.76,308.65
2010M3,270.31,322.2
2010M4,265.13,349.53
2010M5,257.21,341.17
2010M6,251.02,325.54
2010M7,268.93,310.54
2010M8,284.57,308.27
2010M9,304.93,302.14
2010M10,320.89,305.98
2010M11,332.46,304.63
2010M12,347.04,297.27
2011M1,359.18,302.16
2011M2,370.44,304.25
2011M3,357.21,325.96
2011M4,367.39,328.88
2011M5,364.76,303.38
2011M6,364.77,290.72
2011M7,367.15,285.23
2011M8,376.88,284.89
2011M9,377.15,265.76
2011M10,356.65,266.88
2011M11,353.62,274.09
2011M12,341.55,268.58
2012M1,341.98,257.61
2012M2,349.6,260.72
2012M3,364.05,260.2
2012M4,370.99,270.93
2012M5,373.62,284.26
2012M6,373.21,302.19
2012M7,414.15,315.23
2012M8,422.84,317.18
2012M9,420.65,309.01
2012M10,408.7,307.63
2012M11,402.9,338.58
2012M12,392.56,381.36
2013M1,385.96,367.88
2013M2,384.6,338.64
2013M3,381.73,322.66
2013M4,368.72,331.12
2013M5,378.52,332.38
2013M6,378.8,320.24
2013M7,367.31,299.86
2013M8,337.77,303.4
2013M9,321.41,289.21
2013M10,311.94,288.72
2013M11,306.69,293.45
2013M12,305.37,295.61
2014M1,298.93,300.28
2014M2,308.75,312.35
2014M3,320.03,328.4
2014M4,320.92,334.45
2014M5,322.83,342.41
2014M6,311.54,370.26
2014M7,288.82,382.81
2014M8,279.53,376.59
2014M9,259.06,358.38
