Commodity,PBEEF,PFSHMEAL,PLAMB,PPORK,PPOULT,PSALM,PSHRI,,
Name,"Beef, Australian and New Zealand 85% lean fores, CIF U.S. import price, US cents per pound","Fishmeal, Peru Fish meal/pellets 65% protein, CIF, US$ per metric ton","Lamb, frozen carcass Smithfield London, US cents per pound","Swine (pork), 51-52% lean Hogs, U.S. price, US cents per pound.","Poultry (chicken), Whole bird spot price, Ready-to-cook, whole, iced, Georgia docks, US cents per pound","Fish (salmon), Farm Bred Norwegian Salmon, export price, US$ per kilogram",Thailand Whiteleg Shrimp 70 Shrimps/Kg Spot Price,,
Data Type,USD,USD,USD,USD,USD,USD,USD,,Avg
Frequency,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,,Monthly
1993M7,127.94,375.25,130.1,65.46,56.7,5.4,6.28,,109.59
1993M8,127.17,388.36,129.77,68.43,57.93,5.05,6.13,,111.83
1993M9,124.01,389.89,132.62,68.98,57.58,4.73,5.77,,111.94
1993M10,121.06,387.33,130.9,66.79,55.67,4.35,5.83,,110.27
1993M11,119.84,373.16,128.8,60.68,55.08,3.94,5.83,,106.76
1993M12,111.66,393.21,129.47,57.53,53.67,4.31,5.88,,107.96
1994M1,109.84,395.87,130.45,62.4,52.8,4.33,5.88,,108.8
1994M2,113.11,398.37,130.23,67.84,53.63,4.49,5.88,,110.51
1994M3,122.03,393.37,131.23,62.63,55.45,4.59,6.58,,110.84
1994M4,119.19,378.37,130,59.98,56,5.2,6.66,,107.92
1994M5,108.44,389.78,126.59,60.57,58.94,5.43,6.77,,108.07
1994M6,101.26,396.97,127.03,61.27,59.35,5.46,6.85,,108.32
1994M7,99.39,401.81,126.11,60.59,57.98,5.24,6.92,,108.29
1994M8,99.78,409.34,119.62,60.12,55.89,5.02,7.04,,108.12
1994M9,100.16,418.1,119.79,50.41,56.13,5.28,7.07,,108.13
1994M10,96.38,430.6,123.61,45.41,54.33,5.35,7.28,,109
1994M11,99.28,412.67,122.83,40.26,51.67,4.85,7.28,,105.55
1994M12,100.95,412.64,120.51,45.43,51.25,4.89,7.28,,106.14
1995M1,97.76,445.36,120.62,53.42,51.25,4.81,7.61,,111.55
1995M2,98.47,467.28,117.56,55.68,51.44,4.78,7.66,,114.7
1995M3,93.77,480.2,117.12,54.05,51.85,5.08,7.66,,115.68
1995M4,88.45,482.68,115.26,51.05,51.38,5.17,7.66,,114.52
1995M5,82.02,476.59,111.99,48.05,52.33,5.36,7.88,,112.03
1995M6,79.9,478.94,112.19,55.55,54.11,5.42,7.88,,113.43
1995M7,76.61,539.09,107.85,66.06,56.4,5.01,7.88,,122.7
1995M8,78.53,532.67,105.72,78.08,59.47,4.75,7.5,,123.82
1995M9,81.5,542.87,105.07,75.7,60.63,4.67,7.12,,125.37
1995M10,84.58,552.42,113.4,78.51,58.72,4.45,6.69,,128.39
1995M11,88.99,614.51,117.15,65.89,59.65,3.93,6.58,,136.67
1995M12,87.43,645.04,114.98,71.5,58.57,3.87,6.53,,141.13
1996M1,86.26,694.66,116.22,72.9,58.45,4.32,6.53,,148.48
1996M2,83.05,705.54,114.95,78.51,56.83,4.27,6.53,,149.95
1996M3,79.32,664.02,118.49,89.72,55.12,4.36,6.53,,145.37
1996M4,81.5,637.9,134.95,99.53,56.02,4.44,6.53,,145.84
1996M5,81.31,603.71,146.12,112.15,60.32,4.25,6.6,,144.92
1996M6,77,597.14,153.45,102.34,64.64,4.25,6.75,,143.65
1996M7,77.68,577.42,151.62,124.77,66.26,3.78,6.58,,144.02
1996M8,80.23,565.35,151.21,124.77,66.7,3.68,6.55,,142.64
1996M9,78.68,605.67,154.71,76.3,66.7,3.76,6.4,,141.74
1996M10,81.42,626.68,159.64,76.59,65.68,3.89,6.43,,145.76
1996M11,82.17,643.81,170.23,75.74,65.83,4.13,6.83,,149.82
1996M12,83.01,629.31,173.95,76.51,65.19,4.21,7.12,,148.47
1997M1,81.48,608.18,174.17,74.6,64.2,4.31,7.36,,144.9
1997M2,85.33,602.29,159.21,72.48,62.54,3.93,7.56,,141.91
1997M3,93.36,592.71,153.98,68.96,61.82,3.74,7.71,,140.33
1997M4,90.99,584.81,150.19,76.86,61.3,3.68,7.88,,139.39
1997M5,86.5,589.35,149.42,81.52,60.89,3.63,7.97,,139.9
1997M6,80.11,610.62,150.74,83.17,60.89,3.57,8.07,,142.45
1997M7,81.73,627.37,151.48,83.14,61.3,3.66,8.26,,145.28
1997M8,82.82,656.29,144.47,77.41,62.71,3.6,8.12,,147.92
1997M9,80.47,679.52,140.36,70.66,63.05,3.64,7.63,,149.33
1997M10,79.72,696.66,143.05,65.95,59.63,3.74,7.91,,150.95
1997M11,83.24,742.33,148,63.03,57.56,3.62,8.07,,157.98
1997M12,84.28,761.33,138.32,56.52,55.98,3.58,8.09,,158.3
1998M1,82.87,755.77,130.02,50.56,55.5,3.47,8.09,,155.18
1998M2,82.09,754.4,126.56,50.38,55.81,3.42,8.09,,154.39
1998M3,81.68,741.7,123.25,50.25,56.92,3.51,8.09,,152.2
1998M4,81.74,743.83,121.12,50.75,57.62,3.83,8.09,,152.42
1998M5,80.4,732.55,115.01,61.33,59.08,3.95,8.09,,151.49
1998M6,77.48,727.63,105.58,60.45,62.54,4.17,8.2,,149.44
1998M7,75.94,706.68,103.51,52.34,67.34,3.83,7.96,,145.37
1998M8,76.12,708.88,103.43,49.06,70.85,3.61,7.77,,145.67
1998M9,75.05,726.89,116.53,40.93,71.06,3.64,7.38,,148.78
1998M10,74.26,707.25,121.3,38.59,69.15,3.76,6.93,,145.89
1998M11,75.57,653.71,114.5,23.68,67.1,3.77,7.01,,135.05
1998M12,76.35,548.67,111.35,19.1,64.9,3.66,7.01,,118.72
1999M1,77.6,528.17,110.05,34.86,62.93,3.71,6.94,,117.75
1999M2,81.83,508.74,108.86,37.34,61.25,3.57,6.9,,115.5
1999M3,81.5,434.31,108.38,35.08,59,3.56,6.9,,104.1
1999M4,79.11,402.13,108.8,39.45,57.71,3.69,6.97,,99.69
1999M5,79.85,385.72,112.03,48.75,59.6,3.65,7.28,,99.56
1999M6,79.93,381.18,111.46,45.92,60.96,3.47,7.34,,98.61
1999M7,81.6,393.63,114.66,44.33,61.13,3.41,7.34,,100.87
1999M8,88.33,408.96,123.21,53.25,60.41,3.48,7.36,,106.43
1999M9,86.48,430.42,119.47,48.7,60.92,3.46,7.11,,108.08
1999M10,84.64,432.83,124.57,46.59,58.67,3.51,7.07,,108.27
1999M11,87.93,437.55,123.55,47.66,58.5,3.51,7.28,,109.43
1999M12,88.88,453.7,124.79,50.94,58.5,3.81,7.28,,112.56
2000M1,88.2,452.22,128.24,51.61,58.23,3.87,7.28,,112.81
2000M2,89.05,448.56,122.51,54.91,57.63,3.9,7.28,,111.98
2000M3,90.46,434.75,123.47,57.76,57.25,3.94,7.35,,110.71
2000M4,90.05,423.79,110.47,66.95,57.25,4.01,7.39,,108.56
2000M5,90.9,417.21,105.84,69.16,57.76,4.05,7.39,,107.47
2000M6,88.06,452.82,104.36,69.5,59.12,4.01,7.39,,112.18
2000M7,86.93,471.25,102.31,66.59,59.76,4.06,7.39,,114.04
2000M8,86.39,461.6,104.51,59.49,60.17,3.83,7.39,,111.91
2000M9,82.69,462.45,109.1,57.16,61.7,3.24,7.35,,111.96
2000M10,82.88,457.12,113.14,54.89,61.53,2.94,7.44,,111.42
2000M11,89.72,450.26,112.48,48.68,61.5,2.87,7.55,,110.44
2000M12,88.15,493.05,117.83,54.76,61.5,3.02,7.62,,117.99
2001M1,87.81,500.77,122.87,50.38,61.54,3.05,7.8,,119.18
2001M2,87.56,513.14,123.6,53.8,61.77,3.02,7.98,,121.55
2001M3,91.06,497.36,137.77,63.11,62,3.1,8.09,,123.21
2001M4,90.11,481,131.91,64.63,62.06,3.03,8.09,,120.12
2001M5,91.49,479.31,130.05,70.61,63.04,2.97,8.09,,120.8
2001M6,94.45,508.93,124.57,72.92,63.54,2.89,8.09,,125.06
2001M7,98.45,525.21,118.64,72.97,64.27,2.83,8.09,,127.21
2001M8,101.8,545.5,129.59,71.54,65.58,2.92,7.55,,132.07
2001M9,107.25,549.33,138.24,63.93,66.48,2.92,6.73,,133.55
2001M10,103.39,555.81,135.1,57.29,65.7,2.79,6.42,,132.36
2001M11,104.28,585.28,134.69,48.6,64.33,2.62,5.93,,135.1
2001M12,100.83,618.96,135.94,47.41,63.23,2.56,5.7,,139.23
2002M1,101.05,621.83,138.15,54.26,62.94,2.52,5.79,,140.93
2002M2,102.95,633.4,137.12,55.14,62.92,2.52,6.18,,142.89
2002M3,109.03,633.5,137.39,50.8,62.73,2.68,6.45,,143.22
2002M4,103.74,646.64,137.77,44.78,62.5,2.81,5.86,,143.44
